MacroPlot Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
FPIPO1T09:10,8/27/1999 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,8/27/1999 0:00,1,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,2,1,1,L,,X,3,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,3,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,4,1,1,L,,X,5,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/27/1999 0:00,5,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/27/1999 0:00,6,1,1,L,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/27/1999 0:00,7,1,1,L,,X,3,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,10/27/1999 0:00,1,1,1,D,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,2,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,3,1,1,L,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,4,1,1,L,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,5,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,6,1,1,L,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,7,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,10/27/1999 0:00,8,1,1,D,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,9,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,10,1,1,D,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,10/27/1999 0:00,11,1,1,L,,X,2,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/9/2000 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,8/9/2000 0:00,1,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,2,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,3,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,4,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,8/9/2000 0:00,5,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,8/9/2000 0:00,6,1,1,D,,X,5,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,9/20/2001 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,9/20/2001 0:00,1,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,2,1,1,D,,X,1,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,3,1,1,L,,X,1,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,4,1,1,D,,X,4,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
FPIPO1T09:10,9/20/2001 0:00,5,1,1,D,,X,1,0.6,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,9/20/2001 0:00,6,1,1,D,,X,2,1,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,9/20/2001 0:00,7,1,1,D,,X,2,2,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PSME,
FPIPO1T09:10,7/27/2004 0:00,,,,,,,,,,,,,,1,1,20,50,1000,,,,,,,,TRUE
FPIPO1T09:10,7/27/2004 0:00,1,1,1,L,,X,3,0.15,1,From FMH TREESEED 1058,,, seed_all,,,,,,,,,,,,PIPO,
